Logiciel Proprietaire ID,Logiciel Proprietaire,Alternative OSS,Licence,Maturite,Communaute,Pays Origine,Compatibilite Formats,Fonctionnalites Cles,Support Commercial,URL
crm_pipedrive,Pipedrive,SuiteCRM,AGPL-3.0,A,forte,UK,API,"Pipeline, workflows",SalesAgility,https://suitecrm.com
erp_sap_s_4hana,SAP S/4HANA,Odoo,LGPL-3.0,A,tres forte,BE,API REST,"ERP modulaire complet, 40+ modules, tres adaptable",Odoo SA + 500+ partenaires,https://www.odoo.com
erp_sap_s_4hana,SAP S/4HANA,ERPNext,GPL-3.0,A,forte,IN,API REST,"Moderne, Frappe Framework, facile a customiser",Frappe Technologies,https://erpnext.com
erp_sap_s_4hana,SAP S/4HANA,Dolibarr,GPL-3.0,A,forte,FR,API,"Francais, TPE/PME, tres accessible","DoliCloud, NLTechno",https://www.dolibarr.org
erp_sap_s_4hana,SAP S/4HANA,iDempiere,GPL-2.0,A,moyenne,ID,API,"Fork Adempiere, mature, supply chain","TrekGlobal, etc.",https://www.idempiere.org
erp_sap_s_4hana,SAP S/4HANA,Apache OFBiz,Apache-2.0,A,moyenne,US,API,"Tres mature, scalable, e-commerce integre",HotWax Systems,https://ofbiz.apache.org
erp_oracle_netsuite,Oracle NetSuite,Odoo,LGPL-3.0,A,tres forte,BE,API,"Alternative directe, tres complete",Odoo SA,https://www.odoo.com
erp_oracle_netsuite,Oracle NetSuite,ERPNext,GPL-3.0,A,forte,IN,API,"Moderne, cloud-ready",Frappe Technologies,https://erpnext.com
erp_oracle_netsuite,Oracle NetSuite,Tryton,GPL-3.0,A,moyenne,FR,API,"Fork OpenERP, modulaire, tres technique","B2CK, Coopengo",https://www.tryton.org
erp_microsoft_dynamics_365,Microsoft Dynamics 365,Odoo,LGPL-3.0,A,tres forte,BE,API,Alternative la plus complete,Odoo SA,https://www.odoo.com
erp_microsoft_dynamics_365,Microsoft Dynamics 365,ERPNext,GPL-3.0,A,forte,IN,API,"Moderne, rapide a deployer",Frappe Technologies,https://erpnext.com
erp_microsoft_dynamics_365,Microsoft Dynamics 365,Dolibarr,GPL-3.0,A,forte,FR,API,"Francais, accessible",DoliCloud,https://www.dolibarr.org
erp_infor_cloudsuite,Infor CloudSuite,Odoo,LGPL-3.0,A,tres forte,BE,API,Verticalisation possible,Odoo SA,https://www.odoo.com
erp_infor_cloudsuite,Infor CloudSuite,ERPNext,GPL-3.0,A,forte,IN,API,Multi-secteur,Frappe Technologies,https://erpnext.com
bi_tableau,Tableau,Apache Superset,Apache-2.0,A,tres forte,US,SQL + API,"Dashboards riches, SQL Lab, tres scalable","Preset, Apache",https://superset.apache.org
bi_tableau,Tableau,Metabase,AGPL-3.0,A,tres forte,US,SQL,"Tres facile d'usage, questions sans SQL, embedding",Metabase Inc.,https://www.metabase.com
bi_tableau,Tableau,Grafana,AGPL-3.0,A,tres forte,SE,Multiple sources,"Visualisation temps reel, alerting, tres populaire",Grafana Labs,https://grafana.com
bi_tableau,Tableau,Redash,BSD-2,A,forte,IL,SQL + API,"Requetage collaboratif, visualisations",Datorama (Salesforce) - attention lock-in,https://redash.io
bi_tableau,Tableau,Pentaho / Hitachi Vantara,LGPL-2.1,A,moyenne,JP,Multiple,"ETL + BI integre, mature",Hitachi,https://www.hitachivantara.com
bi_power_bi,Power BI,Apache Superset,Apache-2.0,A,tres forte,US,SQL,Alternative tres proche fonctionnellement,Preset,https://superset.apache.org
bi_power_bi,Power BI,Metabase,AGPL-3.0,A,tres forte,US,SQL,Simplicite d'usage,Metabase Inc.,https://www.metabase.com
bi_power_bi,Power BI,Grafana,AGPL-3.0,A,tres forte,SE,Multiple,Dashboards temps reel,Grafana Labs,https://grafana.com
bi_qlik_sense,Qlik Sense,Apache Superset,Apache-2.0,A,tres forte,US,SQL,"Discovery, dashboards",Preset,https://superset.apache.org
bi_qlik_sense,Qlik Sense,Metabase,AGPL-3.0,A,tres forte,US,SQL,"Questions, exploration",Metabase Inc.,https://www.metabase.com
cloud_stockage_dropbox,Dropbox,Nextcloud,AGPL-3.0,A,tres forte,DE,WebDAV + API,"Self-hosted, collaboration integree, 100% souverain",Nextcloud GmbH,https://nextcloud.com
cloud_stockage_dropbox,Dropbox,ownCloud,AGPL-3.0,A,forte,DE,WebDAV + API,"Enterprise focus, tres mature",ownCloud GmbH,https://owncloud.com
cloud_stockage_dropbox,Dropbox,Seafile,AGPL-3.0,A,forte,CN,API,"Performant, sync rapide, deduplication",Seafile Ltd,https://www.seafile.com
cloud_stockage_dropbox,Dropbox,Syncthing,MPL-2.0,A,forte,SE,P2P,"P2P decentralise, pas de serveur central",Communautaire,https://syncthing.net
cloud_stockage_google_drive,Google Drive,Nextcloud,AGPL-3.0,A,tres forte,DE,WebDAV + API,Alternative complete avec bureautique,Nextcloud GmbH,https://nextcloud.com
cloud_stockage_google_drive,Google Drive,CryptPad,AGPL-3.0,B,moyenne,FR,WebDAV-like,"Chiffrement E2E, souverainete francaise",XWiki SAS,https://cryptpad.fr
cloud_stockage_onedrive,OneDrive,Nextcloud,AGPL-3.0,A,tres forte,DE,WebDAV + API,"Alternative directe, integration Windows",Nextcloud GmbH,https://nextcloud.com
cloud_stockage_onedrive,OneDrive,ownCloud,AGPL-3.0,A,forte,DE,WebDAV + API,"Enterprise, tres mature",ownCloud GmbH,https://owncloud.com
cloud_stockage_box,Box,Nextcloud,AGPL-3.0,A,tres forte,DE,WebDAV + API,"Enterprise, workflow",Nextcloud GmbH,https://nextcloud.com
cloud_stockage_box,Box,ownCloud,AGPL-3.0,A,forte,DE,WebDAV + API,Enterprise focus,ownCloud GmbH,https://owncloud.com
devops_github,GitHub,GitLab,MIT,A,tres forte,US,Git,"CI/CD integre, DevOps complet, self-hosted",GitLab Inc.,https://gitlab.com
devops_github,GitHub,Gitea,MIT,A,tres forte,DE,Git,"Leger, rapide, facile a installer, fork Gogs",Communautaire,https://gitea.io
devops_github,GitHub,Forgejo,MIT,A,forte,FR,Git,"Fork communautaire de Gitea, 100% libre",Codeberg,https://forgejo.org
devops_github,GitHub,SourceHut,GPL-2.0,B,moyenne,US,Git + Mercurial,"Minimaliste, 100% open source, pas de JS",Drew DeVault,https://sourcehut.org
devops_jenkins_(cloudbees),Jenkins (CloudBees),GitLab CI,MIT,A,tres forte,US,YAML,"Integre a GitLab, tres complet",GitLab Inc.,https://docs.gitlab.com/ee/ci/
devops_jenkins_(cloudbees),Jenkins (CloudBees),GitHub Actions (libre),MIT,A,tres forte,US,YAML,"Tres populaire, mais proprietaire GitHub",Microsoft,https://github.com/features/actions
devops_jenkins_(cloudbees),Jenkins (CloudBees),Drone CI,Apache-2.0,A,forte,US,YAML,"Leger, container-native, tres rapide",Harness,https://www.drone.io
devops_jenkins_(cloudbees),Jenkins (CloudBees),Woodpecker CI,Apache-2.0,B,moyenne,DE,YAML,"Fork communautaire de Drone, 100% libre",Communautaire,https://woodpecker-ci.org
devops_jenkins_(cloudbees),Jenkins (CloudBees),Buildbot,GPL-2.0,A,moyenne,US,Python,"Tres flexible, programmable",Communautaire,https://buildbot.net
devops_gitlab_(saas_payant),GitLab (SaaS payant),Gitea,MIT,A,tres forte,DE,Git,"Self-hosted, leger",Communautaire,https://gitea.io
devops_gitlab_(saas_payant),GitLab (SaaS payant),Forgejo,MIT,A,forte,FR,Git,"100% libre, fork Gitea",Codeberg,https://forgejo.org
devops_gitlab_(saas_payant),GitLab (SaaS payant),GitLab CE (self-hosted),MIT,A,tres forte,US,Git,Version communautaire gratuite,GitLab Inc.,https://gitlab.com
devops_datadog,Datadog,Prometheus + Grafana,Apache-2.0 / AGPL-3.0,A,tres forte,US/SE,Metrics,"Monitoring temps reel, alerting","Grafana Labs, Red Hat",https://prometheus.io
devops_datadog,Datadog,Zabbix,GPL-2.0,A,tres forte,LV,SNMP/IPMI/Agent,"Monitoring complet, auto-discovery",Zabbix SIA,https://www.zabbix.com
devops_datadog,Datadog,Nagios,GPL-2.0,A,tres forte,US,SNMP/Agent,"Pionnier monitoring, tres mature",Nagios Enterprises,https://www.nagios.org
devops_datadog,Datadog,Icinga,GPL-2.0,A,forte,DE,API/Agent,"Fork Nagios, moderne, API REST",Icinga GmbH,https://icinga.com
design_adobe_creative_cloud,Adobe Creative Cloud,GIMP,GPL-3.0,A,tres forte,US,"PSD (import), XCF, PNG, JPEG","Retouche photo pro, scripting, plugins",Communautaire,https://www.gimp.org
design_adobe_creative_cloud,Adobe Creative Cloud,Krita,GPL-3.0,A,tres forte,NL,"PSD, ORA, PNG","Dessin numerique, animation, tres performant",Krita Foundation,https://krita.org
design_adobe_creative_cloud,Adobe Creative Cloud,Inkscape,GPL-3.0,A,tres forte,US,"SVG, AI (import), PDF","Vectoriel pro, tres complet",Inkscape Consortium,https://inkscape.org
design_adobe_creative_cloud,Adobe Creative Cloud,Scribus,GPL-2.0,A,forte,DE,"PDF, EPS, SVG","PAO pro, mise en page, CMYK",Communautaire,https://www.scribus.net
design_adobe_creative_cloud,Adobe Creative Cloud,Blender,GPL-3.0,A,tres forte,NL,"FBX, OBJ, USD, GLTF","3D, animation, VFX, montage video, tres complet",Blender Foundation,https://www.blender.org
design_adobe_creative_cloud,Adobe Creative Cloud,Penpot,MPL-2.0,B,forte,ES,SVG,"Design UI/UX, prototypage, web-based, open source",Kaleidos,https://penpot.app
design_figma,Figma,Penpot,MPL-2.0,B,forte,ES,SVG,"Alternative directe Figma, open source, self-hosted",Kaleidos,https://penpot.app
design_figma,Figma,Akira,GPL-3.0,C,moyenne,IT,SVG,"UI/UX native Linux, en developpement",Communautaire,https://github.com/akiraux/Akira
design_figma,Figma,Lunacy,Proprietaire (gratuit),B,moyenne,CY,"Sketch, Figma","Gratuit, offline, compatible Sketch",Icons8,https://icons8.com/lunacy
design_canva,Canva,Penpot,MPL-2.0,B,forte,ES,SVG,"Design UI/UX, prototypage",Kaleidos,https://penpot.app
design_canva,Canva,Inkscape,GPL-3.0,A,tres forte,US,SVG,Vectoriel pro,Inkscape Consortium,https://inkscape.org
design_canva,Canva,GIMP,GPL-3.0,A,tres forte,US,Multiple,Retouche photo,Communautaire,https://www.gimp.org
video_adobe_premiere_pro,Adobe Premiere Pro,DaVinci Resolve (version gratuite),Proprietaire (gratuit),A,tres forte,AU,"ProRes, DNxHD, EXR","Etalonnage pro, montage, VFX, audio - version gratuite tres complete",Blackmagic Design,https://www.blackmagicdesign.com/products/davinciresolve
video_adobe_premiere_pro,Adobe Premiere Pro,Blender (Video Sequencer),GPL-3.0,A,tres forte,NL,Multiple,"Montage, VFX, 3D integre",Blender Foundation,https://www.blender.org
video_adobe_premiere_pro,Adobe Premiere Pro,Kdenlive,GPL-3.0,A,forte,FR,FFmpeg (tous formats),"Montage non-lineaire, effets, tres stable",KDE,https://kdenlive.org
video_adobe_premiere_pro,Adobe Premiere Pro,Shotcut,GPL-3.0,A,forte,US,FFmpeg,"Leger, pas d'import requis, tres rapide",Meltytech,https://www.shotcut.org
video_adobe_premiere_pro,Adobe Premiere Pro,Olive Video Editor,GPL-3.0,C,moyenne,AU,FFmpeg,"Moderne, node-based, en developpement",Communautaire,https://www.olivevideoeditor.org
video_final_cut_pro,Final Cut Pro,DaVinci Resolve,Proprietaire (gratuit),A,tres forte,AU,ProRes,"Gratuit, tres pro, multi-plateforme",Blackmagic Design,https://www.blackmagicdesign.com/products/davinciresolve
video_final_cut_pro,Final Cut Pro,Blender,GPL-3.0,A,tres forte,NL,Multiple,"Complet, gratuit",Blender Foundation,https://www.blender.org
video_final_cut_pro,Final Cut Pro,Kdenlive,GPL-3.0,A,forte,FR,FFmpeg,"Stable, francais",KDE,https://kdenlive.org
securite_crowdstrike_falcon,CrowdStrike Falcon,Wazuh,GPL-2.0,A,tres forte,US,OSSEC + ELK,"SIEM + EDR + FIM, tres complet, self-hosted",Wazuh Inc.,https://wazuh.com
securite_crowdstrike_falcon,CrowdStrike Falcon,Suricata,GPL-2.0,A,tres forte,US,IDS/IPS,IDS/IPS haute performance,OISF,https://suricata.io
securite_crowdstrike_falcon,CrowdStrike Falcon,Snort,GPL-2.0,A,tres forte,US,IDS/IPS,"Pionnier IDS, tres mature",Cisco Talos,https://www.snort.org
securite_crowdstrike_falcon,CrowdStrike Falcon,OpenEDR,Apache-2.0,B,moyenne,US,API,"EDR open source, Xcitium",Xcitium,https://openedr.com
securite_symantec_broadcom,Symantec/Broadcom,ClamAV,GPL-2.0,A,tres forte,US,Antivirus signatures,"Antivirus serveur, tres leger",Cisco,https://www.clamav.net
securite_symantec_broadcom,Symantec/Broadcom,Wazuh,GPL-2.0,A,tres forte,US,EDR,EDR + SIEM complet,Wazuh Inc.,https://wazuh.com
securite_symantec_broadcom,Symantec/Broadcom,OSSEC,GPL-2.0,A,forte,US,HIDS,"Host IDS, tres mature",Atomicorp,https://www.ossec.net
securite_palo_alto_networks,Palo Alto Networks,pfSense,Apache-2.0,A,tres forte,US,Firewall,"Firewall complet, VPN, HA",Netgate,https://www.pfsense.org
securite_palo_alto_networks,Palo Alto Networks,OPNsense,BSD-2,A,tres forte,NL,Firewall,"Fork pfSense, tres moderne, HardenedBSD",Deciso,https://opnsense.org
securite_palo_alto_networks,Palo Alto Networks,IPFire,GPL-3.0,A,forte,DE,Firewall,"Leger, securise, tres stable",Lightning Wire Labs,https://www.ipfire.org
securite_fortinet_fortigate,Fortinet FortiGate,pfSense,Apache-2.0,A,tres forte,US,Firewall,"UTM, VPN",Netgate,https://www.pfsense.org
securite_fortinet_fortigate,Fortinet FortiGate,OPNsense,BSD-2,A,tres forte,NL,Firewall,"UTM, moderne",Deciso,https://opnsense.org
gestion_projet_jira,Jira,OpenProject,GPL-3.0,A,forte,DE,API,"Scrum/Kanban/Gantt, tres complet, self-hosted",OpenProject GmbH,https://www.openproject.org
gestion_projet_jira,Jira,Taiga,AGPL-3.0,A,forte,ES,API,"Agile tres intuitif, beau design",Kaleidos,https://www.taiga.io
gestion_projet_jira,Jira,Redmine,GPL-2.0,A,tres forte,JP,API,"Tres mature, plugins riches, Gantt","EasyRedmine, RedmineUP",https://www.redmine.org
gestion_projet_jira,Jira,Focalboard (Mattermost),AGPL-3.0,B,forte,US,API,"Notion-like, open source, integration Mattermost",Mattermost,https://www.focalboard.com
gestion_projet_jira,Jira,Wekan,MIT,A,forte,FI,API,"Kanban pur, tres leger, Meteor",Communautaire,https://wekan.github.io
gestion_projet_jira,Jira,Planka,AGPL-3.0,B,moyenne,DE,API,"Trello-like, moderne, React",Communautaire,https://planka.app
gestion_projet_trello,Trello,Wekan,MIT,A,forte,FI,API,"Alternative directe, self-hosted",Communautaire,https://wekan.github.io
gestion_projet_trello,Trello,Planka,AGPL-3.0,B,moyenne,DE,API,"Moderne, beau",Communautaire,https://planka.app
gestion_projet_trello,Trello,Focalboard,AGPL-3.0,B,forte,US,API,Notion/Trello-like,Mattermost,https://www.focalboard.com
gestion_projet_trello,Trello,Kanboard,MIT,A,forte,FR,API,"Minimaliste, tres rapide, francais",Frederic Guillot,https://kanboard.org
gestion_projet_notion,Notion,AppFlowy,AGPL-3.0,B,forte,SG,Markdown,"Notion-like, open source, local-first",AppFlowy,https://www.appflowy.io
gestion_projet_notion,Notion,Anytype,Apache-2.0,B,forte,DE,Proprietaire (mais open),"Local-first, P2P sync, tres prometteur",Anytype,https://anytype.io
gestion_projet_notion,Notion,Logseq,AGPL-3.0,B,forte,CN,Markdown + Org,"PKM, graphe de connaissances, local-first",Logseq Inc.,https://logseq.com
gestion_projet_notion,Notion,Focalboard,AGPL-3.0,B,forte,US,API,"Notion-like, integration Mattermost",Mattermost,https://www.focalboard.com
gestion_projet_notion,Notion,Outline,BSL-1.1,A,forte,US,Markdown,"Wiki d'entreprise, beau, self-hosted",Outline,https://www.getoutline.com
gestion_projet_mondaycom,Monday.com,OpenProject,GPL-3.0,A,forte,DE,API,"Work packages, boards, Gantt",OpenProject GmbH,https://www.openproject.org
gestion_projet_mondaycom,Monday.com,Taiga,AGPL-3.0,A,forte,ES,API,"Kanban, Scrum, epics",Kaleidos,https://www.taiga.io
gestion_projet_mondaycom,Monday.com,Focalboard,AGPL-3.0,B,forte,US,API,"Boards, tables, calendar",Mattermost,https://www.focalboard.com
email_microsoft_exchange_online,Microsoft Exchange Online,Postfix + Dovecot + Roundcube,IBM-1.0 / LGPL / GPL,A,tres forte,US/DE,IMAP/SMTP,"Stack mail classique, tres robuste, 100% souverain",Multiple,https://www.postfix.org
email_microsoft_exchange_online,Microsoft Exchange Online,Mailcow,GPL-3.0,A,forte,DE,IMAP/SMTP/ActiveSync,"Dockerized, moderne, SOGo webmail, tres complet",The Infrastructure Company,https://mailcow.email
email_microsoft_exchange_online,Microsoft Exchange Online,iRedMail,GPL,A,forte,CN,IMAP/SMTP,"Installation rapide, stack complete",iRedMail Pro,https://www.iredmail.org
email_microsoft_exchange_online,Microsoft Exchange Online,Zimbra,GPL-2.0,A,forte,US,IMAP/SMTP/ActiveSync,"Collaboration complete, webmail pro",Synacor,https://www.zimbra.com
email_microsoft_exchange_online,Microsoft Exchange Online,SOGo,GPL-3.0,A,forte,CA,IMAP/SMTP/ActiveSync,"Webmail moderne, calendrier, ActiveSync",Inverse,https://www.sogo.nu
email_google_workspace_gmail,Google Workspace Gmail,Mailcow,GPL-3.0,A,forte,DE,IMAP/SMTP/ActiveSync,"Moderne, complet, self-hosted",The Infrastructure Company,https://mailcow.email
email_google_workspace_gmail,Google Workspace Gmail,Zimbra,GPL-2.0,A,forte,US,IMAP/SMTP/ActiveSync,Collaboration complete,Synacor,https://www.zimbra.com
email_google_workspace_gmail,Google Workspace Gmail,SOGo,GPL-3.0,A,forte,CA,IMAP/SMTP/ActiveSync,Webmail moderne,Inverse,https://www.sogo.nu
email_microsoft_exchange_server_(on-premise),Microsoft Exchange Server (on-premise),Mailcow,GPL-3.0,A,forte,DE,IMAP/SMTP/ActiveSync,"Docker, moderne, SOGo",The Infrastructure Company,https://mailcow.email
email_microsoft_exchange_server_(on-premise),Microsoft Exchange Server (on-premise),Zimbra,GPL-2.0,A,forte,US,IMAP/SMTP/ActiveSync,"Collaboration, webmail",Synacor,https://www.zimbra.com
email_microsoft_exchange_server_(on-premise),Microsoft Exchange Server (on-premise),Postfix + Dovecot + Roundcube,IBM-1.0 / LGPL / GPL,A,tres forte,US/DE,IMAP/SMTP,"Stack classique, robuste",Multiple,https://www.postfix.org
base_donnees_oracle_database,Oracle Database,PostgreSQL,PostgreSQL,A,tres forte,US,SQL standard,"SGBD relationnel le plus avance, JSON, GIS, FTS","EDB, 2ndQuadrant, Crunchy Data",https://www.postgresql.org
base_donnees_oracle_database,Oracle Database,MariaDB,GPL-2.0,A,tres forte,FI,MySQL compatible,"Fork MySQL, tres performant, Galera Cluster",MariaDB Corporation,https://mariadb.org
base_donnees_oracle_database,Oracle Database,MySQL,GPL-2.0,A,tres forte,US,SQL,"Tres populaire, mais attention rachat Oracle",Oracle,https://www.mysql.com
base_donnees_oracle_database,Oracle Database,SQLite,Public Domain,A,tres forte,US,SQL,"Embarque, zero-config, tres fiable",Communautaire,https://www.sqlite.org
base_donnees_microsoft_sql_server,Microsoft SQL Server,PostgreSQL,PostgreSQL,A,tres forte,US,SQL standard,Alternative la plus proche fonctionnellement,"EDB, etc.",https://www.postgresql.org
base_donnees_microsoft_sql_server,Microsoft SQL Server,MariaDB,GPL-2.0,A,tres forte,FI,MySQL compatible,"Performant, cluster natif",MariaDB Corporation,https://mariadb.org
base_donnees_microsoft_sql_server,Microsoft SQL Server,Firebird,IPL-1.0 / IDPL,A,moyenne,US,SQL,"Leger, embarque, compatible Delphi/InterBase",IBPhoenix,https://firebirdsql.org
base_donnees_mongodb_atlas,MongoDB Atlas,PostgreSQL + JSONB,PostgreSQL,A,tres forte,US,SQL + JSON,"JSONB natif, peut remplacer MongoDB pour beaucoup de cas","EDB, etc.",https://www.postgresql.org
base_donnees_mongodb_atlas,MongoDB Atlas,Apache CouchDB,Apache-2.0,A,forte,US,JSON/HTTP,"Replication master-master, REST API",IBM Cloudant,https://couchdb.apache.org
base_donnees_mongodb_atlas,MongoDB Atlas,FerretDB,Apache-2.0,B,moyenne,PL,MongoDB wire protocol,Drop-in replacement MongoDB sur PostgreSQL,FerretDB Inc.,https://www.ferretdb.io
base_donnees_amazon_rds___aurora,Amazon RDS / Aurora,PostgreSQL (self-hosted),PostgreSQL,A,tres forte,US,SQL,"Self-hosted, HA, replication","EDB, etc.",https://www.postgresql.org
base_donnees_amazon_rds___aurora,Amazon RDS / Aurora,MariaDB (self-hosted),GPL-2.0,A,tres forte,FI,MySQL,"Self-hosted, Galera",MariaDB Corporation,https://mariadb.org
base_donnees_amazon_rds___aurora,Amazon RDS / Aurora,CockroachDB (open core),BSL-1.1,A,forte,US,PostgreSQL,"Distributed SQL, scalable",Cockroach Labs,https://www.cockroachlabs.com
virtualisation_vmware_vsphere,VMware vSphere,Proxmox VE,AGPL-3.0,A,tres forte,AT,KVM/LXC,"Hyperviseur complet, clustering, Ceph, backup, tres mature",Proxmox Server Solutions,https://www.proxmox.com
virtualisation_vmware_vsphere,VMware vSphere,oVirt,GPL-2.0,A,forte,US,KVM,"Gestionnaire virtualisation, Red Hat heritage",Red Hat,https://www.ovirt.org
virtualisation_vmware_vsphere,VMware vSphere,OpenStack,Apache-2.0,A,tres forte,US,API,"Cloud prive complet, tres scalable","Canonical, Red Hat, SUSE",https://www.openstack.org
virtualisation_vmware_vsphere,VMware vSphere,XCP-ng,GPL-2.0,A,forte,FR,Xen,"Fork Citrix XenServer, 100% libre, francais",Vates,https://xcp-ng.org
virtualisation_vmware_vsphere,VMware vSphere,KVM / QEMU,GPL-2.0 / LGPL-2.1,A,tres forte,US,KVM,"Hyperviseur natif Linux, tres performant","Red Hat, Canonical",https://www.linux-kvm.org
virtualisation_docker_desktop_(entreprise),Docker Desktop (entreprise),Podman,Apache-2.0,A,tres forte,US,OCI,"Daemonless, rootless, compatible Docker CLI",Red Hat,https://podman.io
virtualisation_docker_desktop_(entreprise),Docker Desktop (entreprise),containerd,Apache-2.0,A,tres forte,US,OCI,"Runtime standard, CNCF, tres leger",CNCF,https://containerd.io
virtualisation_docker_desktop_(entreprise),Docker Desktop (entreprise),Buildah,Apache-2.0,A,forte,US,OCI,"Build d'images sans daemon, compatible Dockerfile",Red Hat,https://buildah.io
